date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,0.99953216,-0.0004678413,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,0.0012338889
2020-01-02,1.0011077,0.0015762974,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,0.00012
2020-01-03,1.0194466,0.018318586,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,0.00012
2020-01-04,1.0193296,-0.00011480467,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,0.00012
2020-01-05,1.0193349,5.1953323e-06,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,0
2020-01-06,1.0250194,0.005576716,0.48992593,0.35266667,0.047407407,0.06,0.41,0.41,0.63992593,0.15,1,9e-05
2020-01-07,1.0267029,0.0016423676,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,3e-05
2020-01-08,1.0177706,-0.0086998933,0.25,0.33,0.15,0.22,0.25,0.25,0.68,0.1,4,0.00036388889
2020-01-09,1.0164582,-0.0012895195,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0.00021
2020-01-10,1.0191078,0.0026066698,0.274,0.366,0.15,0.16,0.31,0.31,0.554,0.1,3,0.00012
2020-01-11,1.0190331,-7.3284844e-05,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0.00012
2020-01-12,1.0190743,4.0438356e-05,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0
2020-01-13,1.016309,-0.0027135357,0.242,0.318,0.15,0.24,0.23,0.23,0.572,0.25,3,0.00024
2020-01-14,1.0239916,0.0075593056,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,9e-05
2020-01-15,1.0259185,0.0018817869,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-16,1.0242789,-0.0015981882,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-17,1.0283567,0.0039811563,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-18,1.0284632,0.00010351625,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-19,1.0261335,-0.0022651984,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-20,1.025492,-0.00062522508,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-21,1.0262359,0.00072543043,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-22,1.0254633,-0.0007527941,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-23,1.023889,-0.0015352213,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-24,1.0255514,0.0016236014,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-25,1.0243968,-0.0011258136,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-26,1.0278087,0.0033306172,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-27,1.0323327,0.0044015605,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-28,1.0365441,0.0040794883,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-29,1.0360488,-0.00047778708,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-30,1.0408978,0.0046802901,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-31,1.0391979,-0.0016331321,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-01,1.0397251,0.00050735287,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-02,1.039261,-0.00044641924,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-03,1.0358984,-0.003235547,0.242,0.318,0.15,0.24,0.23,0.23,0.572,0.25,3,9e-05
2020-02-04,1.0302376,-0.0054646449,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,9e-05
2020-02-05,1.0533336,0.022418102,0.21,0.27,0.15,0.32,0.15,0.15,0.74,0.2,5,0.00021
2020-02-06,1.0564467,0.0029554805,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0.00021
2020-02-07,1.058725,0.0021565739,0.234,0.306,0.15,0.26,0.21,0.21,0.614,0.2,4,0.00012
2020-02-08,1.0596638,0.00088674374,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0.00012
2020-02-09,1.0626322,0.0028012816,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-10,1.0586807,-0.0037186222,0.218,0.282,0.15,0.3,0.17,0.17,0.608,0.25,4,0.00018
2020-02-11,1.0610042,0.002194721,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0.00018
2020-02-12,1.0940956,0.031188746,0.186,0.234,0.15,0.38,0.09,0.09,0.776,0.2,6,0.0003
2020-02-13,1.0950133,0.00083881061,0.242,0.318,0.15,0.24,0.23,0.23,0.482,0.1,3,0.00021
